year,round,race_name,circuit,country,driver,driver_full,constructor,grid,position,status,points,weather,circuit_type,date,quali_position,q1,q2,q3,positions_gained
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Schumacher,Michael Schumacher,Ferrari,3,1,Finished,10.0,dry,mixed,2000-03-12,3.0,1:31.075,,,2
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Barrichello,Rubens Barrichello,Ferrari,4,2,Finished,6.0,dry,mixed,2000-03-12,4.0,1:31.102,,,2
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Schumacher,Ralf Schumacher,Williams,11,3,Finished,4.0,dry,mixed,2000-03-12,11.0,1:32.220,,,8
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Villeneuve,Jacques Villeneuve,BAR,8,4,Finished,3.0,dry,mixed,2000-03-12,8.0,1:31.968,,,4
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Fisichella,Giancarlo Fisichella,Benetton,9,5,Finished,2.0,dry,mixed,2000-03-12,9.0,1:31.992,,,4
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Zonta,Ricardo Zonta,BAR,16,6,Finished,1.0,dry,mixed,2000-03-12,16.0,1:33.117,,,10
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Wurz,Alexander Wurz,Benetton,14,7,Finished,0.0,dry,mixed,2000-03-12,14.0,1:32.775,,,7
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Gené,Marc Gené,Minardi,18,8,+1 Lap,0.0,dry,mixed,2000-03-12,18.0,1:33.261,,,10
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Heidfeld,Nick Heidfeld,Prost,15,9,+2 Laps,0.0,dry,mixed,2000-03-12,15.0,1:33.024,,,6
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Salo,Mika Salo,Sauber,10,10,Disqualified,0.0,dry,mixed,2000-03-12,10.0,1:32.018,,,0
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Button,Jenson Button,Williams,21,11,Engine,0.0,dry,mixed,2000-03-12,21.0,1:33.828,,,10
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Diniz,Pedro Diniz,Sauber,19,12,Transmission,0.0,dry,mixed,2000-03-12,19.0,1:33.378,,,7
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Mazzacane,Gastón Mazzacane,Minardi,22,13,Gearbox,0.0,dry,mixed,2000-03-12,22.0,1:34.705,,,9
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Frentzen,Heinz-Harald Frentzen,Jordan,5,14,Hydraulics,0.0,dry,mixed,2000-03-12,5.0,1:31.359,,,-9
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Trulli,Jarno Trulli,Jordan,6,15,Engine,0.0,dry,mixed,2000-03-12,6.0,1:31.504,,,-9
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Alesi,Jean Alesi,Prost,17,16,Hydraulics,0.0,dry,mixed,2000-03-12,17.0,1:33.197,,,1
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Häkkinen,Mika Häkkinen,McLaren,1,17,Engine,0.0,dry,mixed,2000-03-12,1.0,1:30.556,,,-16
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Verstappen,Jos Verstappen,Arrows,13,18,Suspension,0.0,dry,mixed,2000-03-12,13.0,1:32.477,,,-5
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Coulthard,David Coulthard,McLaren,2,19,Engine,0.0,dry,mixed,2000-03-12,2.0,1:30.910,,,-17
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,de la Rosa,Pedro de la Rosa,Arrows,12,20,Suspension,0.0,dry,mixed,2000-03-12,12.0,1:32.323,,,-8
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Irvine,Eddie Irvine,Jaguar,7,21,Spun off,0.0,dry,mixed,2000-03-12,7.0,1:31.514,,,-14
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Herbert,Johnny Herbert,Jaguar,20,22,Clutch,0.0,dry,mixed,2000-03-12,20.0,1:33.638,,,-2
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,Schumacher,Michael Schumacher,Ferrari,3,1,Finished,10.0,wet,mixed,2000-03-26,,,,,2
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,Fisichella,Giancarlo Fisichella,Benetton,5,2,Finished,6.0,wet,mixed,2000-03-26,,,,,3
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,Frentzen,Heinz-Harald Frentzen,Jordan,7,3,Finished,4.0,wet,mixed,2000-03-26,,,,,4
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,Trulli,Jarno Trulli,Jordan,12,4,Finished,3.0,wet,mixed,2000-03-26,,,,,8
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,Schumacher,Ralf Schumacher,Williams,11,5,+1 Lap,2.0,wet,mixed,2000-03-26,,,,,6
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,Button,Jenson Button,Williams,9,6,+1 Lap,1.0,wet,mixed,2000-03-26,,,,,3
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,Verstappen,Jos Verstappen,Arrows,14,7,+1 Lap,0.0,wet,mixed,2000-03-26,,,,,7
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,de la Rosa,Pedro de la Rosa,Arrows,16,8,+1 Lap,0.0,wet,mixed,2000-03-26,,,,,8
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,Zonta,Ricardo Zonta,BAR,8,9,+2 Laps,0.0,wet,mixed,2000-03-26,,,,,-1
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,Mazzacane,Gastón Mazzacane,Minardi,20,10,+2 Laps,0.0,wet,mixed,2000-03-26,,,,,10
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,Coulthard,David Coulthard,McLaren,2,11,Disqualified,0.0,wet,mixed,2000-03-26,,,,,-9
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,Herbert,Johnny Herbert,Jaguar,17,12,Gearbox,0.0,wet,mixed,2000-03-26,,,,,5
